BirthYear,EducDeg,MonthSal,GeoLivArea,Children,ClaimsRate,PremMotor,PremHousehold,PremHealth,PremLife,PremWork,TotalPrem
1982,2,2177.0,1,1,0.39,375.85,79.45,146.36,47.01,16.89,665.5600000000001
1995,2,677.0,4,1,1.12,77.46000000000001,416.2,116.69,125.19,106.13,910.9599999999999
1970,1,2277.0,3,0,0.2800000000000001,206.15,224.5,124.58,86.35,99.02,740.6
1981,3,1099.0,4,1,0.99,182.48,43.349999999999994,311.17,35.34,28.34,600.6800000000001
1973,3,1763.0,4,1,0.9,338.62,47.8,182.59,18.78,41.45,629.24
1956,2,2566.0,4,1,1.0,440.75,18.900000000000006,114.8,7.0,7.670000000000002,589.1199999999999
1943,2,4103.0,4,0,1.05,156.92,295.6,317.95,14.67,26.34,811.48
1974,2,1743.0,4,1,1.13,248.27,397.3,144.36,66.68,53.23,909.8400000000001
1978,3,1862.0,1,1,0.36,344.51,18.349999999999994,210.04,8.779999999999998,9.89,591.5699999999999
1948,3,3842.0,1,0,1.12,209.26,182.25,271.94,39.23,55.12,757.8000000000001
1945,3,3995.0,4,0,0.53,296.5,116.7,227.71,18.67,10.89,670.4699999999999
1958,3,2834.0,3,1,0.46,249.49,216.7,252.38,36.34,35.45,790.36
1949,3,3757.0,1,0,0.97,206.04,340.05,257.05,43.12,15.78,862.0400000000001
1975,2,1981.0,1,1,1.12,504.43,-70.0,72.79,10.889999999999999,16.89,535.0
1979,3,974.0,4,1,0.53,318.06,93.9,247.49,-3.0,19.67,676.12
1989,2,2437.0,1,1,0.89,119.80000000000001,636.525,168.92,125.19,37.23,1098.8799999999999
1970,3,2728.0,4,1,0.85,446.64,107.8,86.35,3.8900000000000006,27.56,672.2399999999999
1982,1,1414.0,3,1,0.71,313.17,373.4,121.8,14.78,72.57,895.7199999999998
1962,4,2751.0,1,1,0.36,402.41,9.449999999999989,125.69,24.45,30.56,592.56
1986,4,1704.0,4,1,0.39,329.84,65.0,221.93,3.8900000000000006,33.34,654.0
1958,2,2804.4,3,1,0.8,407.52,111.7,100.13,24.67,30.34,674.36
1986,2,1495.0,1,1,1.08,209.04,308.95,192.48,64.79,54.900000000000006,830.16
1961,2,2870.0,4,1,0.64,222.04,329.5,248.38,48.01,33.56,881.49
1952,3,3201.0,4,0,0.81,420.3,128.35,135.58,15.67,4.780000000000001,704.68
1944,4,3776.0,2,0,0.41,383.74,103.9,154.14,17.56,15.78,675.1199999999999
1937,4,4281.0,3,0,0.38,330.84,162.8,228.82,-5.0,22.78,740.24
1942,4,3619.0,1,0,0.97,449.75,58.900000000000006,112.91,17.78,9.78,649.1199999999999
1952,3,3639.0,4,0,0.5,301.28,18.900000000000006,258.05,-3.9999999999999964,-0.10999999999999943,574.12
1972,3,2660.0,3,0,0.96,524.21,25.0,54.900000000000006,7.0,-5.0,606.11
1975,2,2148.0,4,1,0.18999999999999995,483.09,-15.0,92.24,3.8900000000000006,-5.110000000000003,559.1099999999999
1953,2,3490.0,4,0,0.69,320.95,335.05,146.25,46.12,9.670000000000003,858.04
1970,3,2126.0,4,1,0.96,473.09,19.450000000000003,89.24,4.780000000000001,7.890000000000001,594.4499999999999
1979,2,1601.0,1,1,0.97,373.96,19.450000000000003,179.7,22.56,10.89,606.5599999999998
1945,3,3662.0,3,0,0.48,320.84,123.35,131.58,40.23,72.68,688.6800000000001
1966,2,2420.0,3,0,0.89,241.49,190.6,125.8,111.8,65.79,735.4799999999999
1972,2,2401.0,4,1,0.94,320.95,-25.55000000000001,145.25,26.56,84.35,551.56
1955,2,3343.0,1,0,1.01,495.87,68.9,68.57,3.0,9.78,646.1199999999999
1941,2,3985.0,3,0,0.98,104.01999999999998,142.8,357.18,53.01,40.23,697.24
1938,3,3858.0,1,0,0.96,334.84,63.349999999999994,207.04,17.67,5.780000000000001,628.6799999999998
1995,2,1177.0,4,1,0.84,52.00999999999996,455.65,135.47,125.19,122.525,937.52
1955,3,3256.0,1,1,0.47,265.05,270.6,130.47,108.02,25.34,799.4800000000001
1968,2,2116.0,4,1,0.18999999999999995,323.84,383.4,168.92,3.0,25.56,904.7199999999999
1982,2,1353.0,2,1,1.07,159.14,249.5,284.61,52.01,23.34,768.6
1990,3,1065.0,1,1,1.19,111.80000000000001,-35.0,208.26,125.19,44.23,554.0
1984,3,1937.0,3,1,0.38,139.58,540.1,180.59,106.13,75.79,1042.19
1986,3,1219.0,4,1,1.08,269.94,300.6,143.25,59.790000000000006,69.9,843.4799999999999
1938,2,4233.0,3,0,0.63,254.38,265.6,209.04,72.68,22.78,824.48
1974,3,2381.0,3,1,1.2,468.09,-45.55000000000001,92.24,1.8900000000000006,14.89,531.56
1978,2,2660.0,1,1,0.99,396.74,18.900000000000006,166.92,16.78,3.8900000000000006,603.2299999999999
1979,3,1569.0,4,1,0.32,435.75,102.25,105.02000000000001,4.780000000000001,9.89,657.6899999999999
1984,3,1960.0,3,1,1.14,360.4,-40.55000000000001,212.04,12.78,10.89,555.56
1980,2,1148.0,1,1,0.98,177.58999999999997,236.7,295.61,44.12,30.45,784.47
1946,3,3441.0,3,0,0.59,305.17,157.25,227.6,12.889999999999999,2.780000000000001,705.6899999999999
1966,3,2885.0,2,1,0.98,559.66,44.45,17.560000000000002,-1.1099999999999994,10.89,631.45
1965,3,2234.0,4,1,0.13,569.55,30.0,36.45,6.0,10.0,652.0
1949,2,3538.0,4,0,0.66,207.93,452.3,155.25,69.68,62.68,947.84
1956,2,2920.0,2,1,0.41,286.61,260.05,168.92,72.68,16.78,805.04
1984,2,2195.0,3,1,0.81,341.73,249.5,84.35,52.9,51.12,779.6
1943,3,4109.0,4,1,0.68,278.83,246.15,217.82,30.34,5.780000000000001,778.92
1978,2,1823.0,1,1,0.68,304.17,249.5,165.81,36.34,15.78,771.6
1957,3,3762.0,3,1,1.08,464.2,-25.55000000000001,89.24,3.8900000000000006,8.780000000000001,540.56
1967,2,3259.0,4,1,0.61,364.18,343.95,86.46,23.45,48.12,866.1600000000001
1973,3,2294.0,3,0,1.19,452.53,-45.55000000000001,104.91,17.78,-4.109999999999999,525.56
1941,3,3760.0,1,0,0.78,276.83,175.6,261.27,6.890000000000001,-6.109999999999999,714.4799999999999
1968,3,2544.0,3,1,1.0,366.07,78.35,165.81,16.56,7.890000000000001,634.68
1984,2,1866.0,1,1,1.06,152.03,530.65,202.26,32.34,97.35,1014.63
1977,2,1399.0,4,1,0.32999999999999996,330.73,186.7,211.15,18.804000000000002,15.78,763.164
1984,3,2119.0,4,1,0.36,384.63,-40.55000000000001,151.03,20.56,17.89,533.56
1952,2,3382.0,2,0,0.84,183.48000000000002,108.9,252.38,65.68,79.68,690.1200000000001
1989,3,1159.0,4,1,0.72,150.03,236.7,286.61,70.79,33.23,777.36
